log,advertiser_id,product_id
2023-04-23,03KNVBO915KY2ZPGA57J,ffkh8f
2023-04-23,03KNVBO915KY2ZPGA57J,0zmyxz
2023-04-23,03KNVBO915KY2ZPGA57J,28ycmv
2023-04-23,03KNVBO915KY2ZPGA57J,2b9w5m
2023-04-23,03KNVBO915KY2ZPGA57J,3calwd
2023-04-23,03KNVBO915KY2ZPGA57J,4bu13h
2023-04-23,03KNVBO915KY2ZPGA57J,4hzw8j
2023-04-23,03KNVBO915KY2ZPGA57J,4mudad
2023-04-23,03KNVBO915KY2ZPGA57J,4xbwqh
2023-04-23,03KNVBO915KY2ZPGA57J,59zz7y
2023-04-23,03KNVBO915KY2ZPGA57J,5vpluf
2023-04-23,03KNVBO915KY2ZPGA57J,7rbqhz
2023-04-23,03KNVBO915KY2ZPGA57J,8xw34w
2023-04-23,03KNVBO915KY2ZPGA57J,94b5uf
2023-04-23,03KNVBO915KY2ZPGA57J,94sb3v
2023-04-23,03KNVBO915KY2ZPGA57J,csg8br
2023-04-23,03KNVBO915KY2ZPGA57J,djcjem
2023-04-23,03KNVBO915KY2ZPGA57J,dykr16
2023-04-23,03KNVBO915KY2ZPGA57J,eopzi1
2023-04-23,03KNVBO915KY2ZPGA57J,ey09dh
2023-04-23,1OW4LWJSBJK6E1D9FDH7,a8hf9j
2023-04-23,1OW4LWJSBJK6E1D9FDH7,023w1n
2023-04-23,1OW4LWJSBJK6E1D9FDH7,0xfk8v
2023-04-23,1OW4LWJSBJK6E1D9FDH7,1ynwfi
2023-04-23,1OW4LWJSBJK6E1D9FDH7,2f5ore
2023-04-23,1OW4LWJSBJK6E1D9FDH7,2o7i3k
2023-04-23,1OW4LWJSBJK6E1D9FDH7,2v3tqb
2023-04-23,1OW4LWJSBJK6E1D9FDH7,3540l5
2023-04-23,1OW4LWJSBJK6E1D9FDH7,3j0939
2023-04-23,1OW4LWJSBJK6E1D9FDH7,4du29j
2023-04-23,1OW4LWJSBJK6E1D9FDH7,6whgk0
2023-04-23,1OW4LWJSBJK6E1D9FDH7,74z2zi
2023-04-23,1OW4LWJSBJK6E1D9FDH7,7u3jyi
2023-04-23,1OW4LWJSBJK6E1D9FDH7,7wnr5z
2023-04-23,1OW4LWJSBJK6E1D9FDH7,8fmedf
2023-04-23,1OW4LWJSBJK6E1D9FDH7,8hpu2i
2023-04-23,1OW4LWJSBJK6E1D9FDH7,8uts7t
2023-04-23,1OW4LWJSBJK6E1D9FDH7,8xko0x
2023-04-23,1OW4LWJSBJK6E1D9FDH7,9wpzc0
2023-04-23,1OW4LWJSBJK6E1D9FDH7,c5xpdt
2023-04-23,2WPF1NXECF3G6NUMWDO7,01mgr3
2023-04-23,2WPF1NXECF3G6NUMWDO7,18v6fo
2023-04-23,2WPF1NXECF3G6NUMWDO7,1ch7g8
2023-04-23,2WPF1NXECF3G6NUMWDO7,1gegxk
2023-04-23,2WPF1NXECF3G6NUMWDO7,1gjnn4
2023-04-23,2WPF1NXECF3G6NUMWDO7,4g0a2g
2023-04-23,2WPF1NXECF3G6NUMWDO7,5u0fz3
2023-04-23,2WPF1NXECF3G6NUMWDO7,63pda8
2023-04-23,2WPF1NXECF3G6NUMWDO7,6m92v0
2023-04-23,2WPF1NXECF3G6NUMWDO7,79wnsa
2023-04-23,2WPF1NXECF3G6NUMWDO7,7sizf8
2023-04-23,2WPF1NXECF3G6NUMWDO7,8s5t5t
2023-04-23,2WPF1NXECF3G6NUMWDO7,8tem7z
2023-04-23,2WPF1NXECF3G6NUMWDO7,8yddnr
2023-04-23,2WPF1NXECF3G6NUMWDO7,90h1oq
2023-04-23,2WPF1NXECF3G6NUMWDO7,9xqcyx
2023-04-23,2WPF1NXECF3G6NUMWDO7,athjhi
2023-04-23,2WPF1NXECF3G6NUMWDO7,awsnit
2023-04-23,2WPF1NXECF3G6NUMWDO7,bs9awt
2023-04-23,2WPF1NXECF3G6NUMWDO7,cd6nzg
2023-04-23,5E325T5HYL61QSABVR5V,pwb09v
2023-04-23,5E325T5HYL61QSABVR5V,0rangk
2023-04-23,5E325T5HYL61QSABVR5V,1dt44d
2023-04-23,5E325T5HYL61QSABVR5V,1fujc6
2023-04-23,5E325T5HYL61QSABVR5V,2zz3ft
2023-04-23,5E325T5HYL61QSABVR5V,3dg8co
2023-04-23,5E325T5HYL61QSABVR5V,3o4i7z
2023-04-23,5E325T5HYL61QSABVR5V,4tw8tf
2023-04-23,5E325T5HYL61QSABVR5V,4ykxyt
2023-04-23,5E325T5HYL61QSABVR5V,5zw3zm
2023-04-23,5E325T5HYL61QSABVR5V,61f3tt
2023-04-23,5E325T5HYL61QSABVR5V,67vcf8
2023-04-23,5E325T5HYL61QSABVR5V,7ej5gu
2023-04-23,5E325T5HYL61QSABVR5V,90z55r
2023-04-23,5E325T5HYL61QSABVR5V,9h4jly
2023-04-23,5E325T5HYL61QSABVR5V,9lk0rl
2023-04-23,5E325T5HYL61QSABVR5V,9qqc2n
2023-04-23,5E325T5HYL61QSABVR5V,asrduk
2023-04-23,5E325T5HYL61QSABVR5V,av9ue3
2023-04-23,5E325T5HYL61QSABVR5V,b5hii5
2023-04-23,6X20RDH567MX2X3TXYJ7,za3qgj
2023-04-23,6X20RDH567MX2X3TXYJ7,0nbh5x
2023-04-23,6X20RDH567MX2X3TXYJ7,0nw219
2023-04-23,6X20RDH567MX2X3TXYJ7,0u97u4
2023-04-23,6X20RDH567MX2X3TXYJ7,14829e
2023-04-23,6X20RDH567MX2X3TXYJ7,3k4wti
2023-04-23,6X20RDH567MX2X3TXYJ7,3o5tyo
2023-04-23,6X20RDH567MX2X3TXYJ7,4pvwer
2023-04-23,6X20RDH567MX2X3TXYJ7,5epf09
2023-04-23,6X20RDH567MX2X3TXYJ7,6ee4ay
2023-04-23,6X20RDH567MX2X3TXYJ7,79hkq6
2023-04-23,6X20RDH567MX2X3TXYJ7,7ers2m
2023-04-23,6X20RDH567MX2X3TXYJ7,8qq045
2023-04-23,6X20RDH567MX2X3TXYJ7,9lk424
2023-04-23,6X20RDH567MX2X3TXYJ7,9uy7cf
2023-04-23,6X20RDH567MX2X3TXYJ7,9wkjtt
2023-04-23,6X20RDH567MX2X3TXYJ7,a27myp
2023-04-23,6X20RDH567MX2X3TXYJ7,ar1d37
2023-04-23,6X20RDH567MX2X3TXYJ7,awpqai
2023-04-23,6X20RDH567MX2X3TXYJ7,b1nsq8
2023-04-23,8C88YB6E8YCGWU07HA7A,qruls0
2023-04-23,8C88YB6E8YCGWU07HA7A,0su5fe
2023-04-23,8C88YB6E8YCGWU07HA7A,1lkljp
2023-04-23,8C88YB6E8YCGWU07HA7A,2a0ckb
2023-04-23,8C88YB6E8YCGWU07HA7A,2ehbaj
2023-04-23,8C88YB6E8YCGWU07HA7A,2gv5kk
2023-04-23,8C88YB6E8YCGWU07HA7A,33p8jq
2023-04-23,8C88YB6E8YCGWU07HA7A,3f7v55
2023-04-23,8C88YB6E8YCGWU07HA7A,48zad0
2023-04-23,8C88YB6E8YCGWU07HA7A,4duwhz
2023-04-23,8C88YB6E8YCGWU07HA7A,4uf7ag
2023-04-23,8C88YB6E8YCGWU07HA7A,51qf7s
2023-04-23,8C88YB6E8YCGWU07HA7A,5b0w5d
2023-04-23,8C88YB6E8YCGWU07HA7A,5n29g6
2023-04-23,8C88YB6E8YCGWU07HA7A,5ovinp
